GEO,Bases,Downloads,Instrument_model,Library_layout,Library_strategy,Organism,Organization,SRA,Source,Title,Sample_characteristics,Tissue,Public_Time,Submission_Time,Pubmed,Authors,Ftp,Md5,Bisulfite_conversion_rate
GSE110538,N,N,N,N,N,Homo sapiens,Oklahama medical research foundation,N,N,Active BRAF-V600E is the key player in generation of a sessile serrated polyp-specific DNA methylation profile,N,N,2018-04-09,2018-02-13,29590112,"Dehghanizadeh S, Khoddami V, Mosbruger TL, Hammoud SS, Edes K, Berry TS, Done M, Samowitz WS, DiSario JA, Luba DG, Burt RW, Jones DA",N,N,N
GSE110821,N,N,N,N,N,Homo sapiens,Garvan Institute of Medical Research,N,N,Developmental origins define epigenomic differences between subcutaneous and visceral adipocytes,N,N,2019-07-03,2018-02-20,31266983,Bradford ST,N,N,N
GSE111405,N,N,N,N,N,Homo sapiens,Stanford University,N,N,Longitudinal Personal DNA Methylome Dynamics in a Human with a Chronic Condition,N,N,2018-10-05,2018-03-05,30397358,"Chen R,Xie D,Snyder M",N,N,N
GSE112356,N,N,N,N,N,Homo sapiens,University of Chicago,N,N,A genomic study of the contribution of DNA methylation to regulatory evolution in primates,N,N,2018-09-25,2018-03-26,"30333510,31953346","Roux J,Blake LE,Hernando-Herraez I,Hsiao CJ,Banovich NE,Garcia Perez R,Chavarria C,Mitrano A,Pritchard JK,Marques-Bonet T,Gilad Y",N,N,N
GSE113881,N,N,N,N,N,Homo sapiens,Cancer Science Institute of Singapore,N,N,DNMT3B maintains mCA landscape and regulates mCG status of bivalent promoters in human embryonic stem cells,N,N,2019-06-02,2018-04-30,31219573,"Tan HK,Wu C,Jia L,Yang H,Di Ruscio A,Tenen DG",N,N,N
GSE113946,N,N,N,N,N,Homo sapiens,Washington University in St. Louis,N,N,Widespread transposable element-driven oncogene expression in cancers,N,N,2019-02-05,2018-05-02,30926969,"Jang HS,Wang T",N,N,N
GSE118030,N,N,N,N,N,Homo sapiens,Memorial University of Newfoundland,N,N,MethMotif: An integrative cell specific database of transcription factor binding motifs coupled with DNA methylation profiles,N,N,2018-08-10,2018-08-02,30380113,"Lin Q,Sian S,An O,Thieffry D,Jha S,Benoukraf T",N,N,N
GSE118255,N,N,N,N,N,Homo sapiens,Emory University,N,N,DNA methylation profiles profiles of B cell subsets from healthy and SLE subjects,N,N,2019-05-17,2018-08-07,31263277,"Scharer CD,Boss JM",N,N,N
GSE119981,N,N,N,N,N,Homo sapiens,University of British Columbia,N,N,Human Cortical DNA methylation by WGBS in Autism Spectrum Disorders and Rett Syndrome,N,N,2019-09-17,2018-09-14,31240313,"Ciernia AV, LaSalle J",N,N,N
GSE120677,N,N,N,N,N,Homo sapiens,CHU Sainte-Justine,N,N,Very long intergenic non-coding RNA transcripts and expression profiles are associated to specific childhood acute lymphoblastic leukemia subtypes,N,N,2018-10-15,2018-10-01,30440012,"Caron M,St-Onge P,Drouin S,Richer C,Sontag T,Busche S,Bourque G,Pastinen T,Sinnett D",N,N,N
GSE123279,N,N,N,N,N,Homo sapiens,North Carolina State University,N,N,Effects of Cadmium Exposure on DNA Methylation at Imprinting Control Regions and Genome-Wide in Mothers and Newborn Children.,N,N,2018-12-04,2018-12-03,29529597,"Cowley M,Skaar DA,Jima DD,Maguire R,Hudson KM,Park SS,Sorrow P,Hoyo C",N,N,N
GSE124610,N,N,N,N,N,Homo sapiens,Albert Einstein College of Medicine,N,N,Loss of hydroxymethylcytosine is an independent adverse prognostic factor in clear cell Renal Cell Carcinoma (ccRCC) and can be abrogated by ascorbic acid mediated TET activation,N,N,2019-04-03,2019-01-03,30702441,"Pradhan K,Bhagat T,Verma A",N,N,N
GSE125660,N,N,N,N,N,Homo sapiens,University of Edinburgh,N,N,Study of MeCP2 in LUHMES-derived neurons,N,N,2019-06-27,2019-01-25,"31289233,32064528","Cholewa-Waclaw J, Webb S",N,N,N
GSE126758,N,N,N,N,N,Homo sapiens,UCSD,N,N,Human neutrophil genome during PMA- and E. coli encounter-induced activation,N,N,2019-03-14,2019-02-19,N,"Denholtz M, Murre C",N,N,N
GSE127281,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from testis (ENCSR011HZJ),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127282,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from adrenal gland (ENCSR042LOG),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127283,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from smooth muscle cell (ENCSR076OHG),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127284,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from right lobe of liver (ENCSR108ESU),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127285,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from lower leg skin (ENCSR128RMY),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127286,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from SK-N-SH (ENCSR145HNT),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127289,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from transverse colon (ENCSR156JXJ),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127290,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from suprapubic skin (ENCSR166VVF),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127291,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from upper lobe of left lung (ENCSR224CTR),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127292,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from stomach (ENCSR267SNS),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127293,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from ovary (ENCSR305VIT),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127294,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from heart left ventricle (ENCSR307KDA),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127295,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from body of pancreas (ENCSR344YUA),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127297,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from hepatocyte (ENCSR351IPU),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127299,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from thyroid gland (ENCSR403DTW),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127301,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from A549 (ENCSR481JIW),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127302,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from esophagus squamous epithelium (ENCSR515MHO),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127303,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from gastroesophageal sphincter (ENCSR517MZU),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127304,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from HeLa-S3 (ENCSR550RTN),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127305,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from stomach (ENCSR598OBF),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127306,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from thyroid gland (ENCSR601MHU),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127307,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from GM23248 (ENCSR625HZA),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127308,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from tibial nerve (ENCSR658MZU),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127309,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from transverse colon (ENCSR668FTZ),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127310,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from upper lobe of left lung (ENCSR674VXR),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127311,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from adrenal gland (ENCSR741FVM),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127312,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from spleen (ENCSR750CPN),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127313,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from tibial nerve (ENCSR752OCM),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127315,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from spleen (ENCSR757JTX),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127316,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from heart left ventricle (ENCSR766GKN),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127317,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from prostate gland (ENCSR779PPR),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127318,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from HepG2 (ENCSR786DCL),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127320,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from ovary (ENCSR803SIO),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127321,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from testis (ENCSR806NNG),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127323,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from gastroesophageal sphincter (ENCSR839GNN),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127324,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from esophagus squamous epithelium (ENCSR853BXB),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127325,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from esophagus muscularis mucosa (ENCSR882FJT),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127326,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from lower leg skin (ENCSR930WUY),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127327,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from smooth muscle cell (ENCSR959RNH),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127328,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from body of pancreas (ENCSR996BJT),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE127331,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,WGBS from OCI-LY7 (ENCSR999CXD),N,N,2019-03-03,2019-02-27,22955616,N,N,N,N
GSE128734,N,N,N,N,N,Homo sapiens,"Lee Kong Chian School of Medicine, Nanyang Technological University",N,N,Systematic evaluation of library preparation methods and sequencing platforms for high-throughput whole genome bisulfite sequencing,N,N,2019-07-29,2019-03-22,31316107,"Zhou L, Ng HK, Moses D, Schuster SC, Beck S, Kim C, Chambers JC, Loh M",N,N,N
GSE130011,N,N,N,N,N,Homo sapiens,Centenary Institute,N,N,"Gene expression, methylome and splicing of THP-1 monocytic cells and THP-1-derived macrophage",N,N,2019-04-19,2019-04-18,32449925,"Wong J,Green I,Song R",N,N,N
GSE130096,N,N,N,N,N,Homo sapiens,Vanderbilt University,N,N,ATAC-Me captures spatiotemporal dynamics of DNA methylation across the chromatin accessible genome,N,N,2019-05-01,2019-04-19,N,"Barnett KR,Hodges EC",N,N,N
GSE130591,N,N,N,N,N,Homo sapiens,Washington State University,N,N,Two dimensional and extracellular matrix based three-dimensional cultures of lung and breast cancer cells,N,N,2019-05-02,2019-05-01,N,"Shan B, Alsager S",N,N,N
GSE16256,N,N,N,N,N,Homo sapiens,"University of California, San Diego",N,N,UCSD Human Reference Epigenome Mapping Project,N,N,2009-08-03,2009-05-27,"19829295,20452322,20944595,21289626,26030523,28637928,23526891","Lister R,Pelizzola M,Dowen RH,Hawkins RD,Hon G,Tonti-Filippini J,Nery JR,Lee L,Ye Z,Ngo Q,Edsall L,Antosiewicz-Bourget J,Stewart R,Ruotti V,Millar AH,Thomson JA,Ren B,Ecker JR",N,N,N
GSE16256,N,N,N,N,N,Homo sapiens,"University of California, San Diego",N,N,UCSD Human Reference Epigenome Mapping Project,N,N,2009-08-03,2009-05-27,"19829295,20452322,20944595,21289626,26030523,28637928,23526891","Lister R,Pelizzola M,Dowen RH,Hawkins RD,Hon G,Tonti-Filippini J,Nery JR,Lee L,Ye Z,Ngo Q,Edsall L,Antosiewicz-Bourget J,Stewart R,Ruotti V,Millar AH,Thomson JA,Ren B,Ecker JR",N,N,N
GSE17312,N,N,N,N,N,Homo sapiens,Broad Institute,N,N,BI Human Reference Epigenome Mapping Project,N,N,2009-08-05,2009-07-24,20944595,"Bernstein BE,Meissner A",N,N,N
GSE25930,N,N,N,N,N,Homo sapiens,UC Davis,N,N,Large-scale methylation domains mark a functional subset of neuronally expressed genes,N,N,2011-06-23,2010-12-08,21784875,"Schroeder DI,LaSalle JM",N,N,N
GSE26826,N,N,N,N,N,Homo sapiens,Augusta University,N,N,Targeted bisulfite sequencing by solution hybrid selection and massively parallel sequencing,N,N,2011-08-01,2011-01-24,21785137,Shi H,N,N,N
GSE29127,N,N,N,N,N,Homo sapiens,UT Southwestern,N,N,Genome-wide DNA methylation mapping in breast cancer cells (HCC1954) and normal breast cells (HMEC),N,N,2011-09-16,2011-05-06,22156296,"Hon GC,Ren B",N,N,N
GSE31263,N,N,N,N,N,Homo sapiens,IDIBELL,N,N,The DNA methylomes of a newborn and a centenarian,N,N,2012-06-13,2011-08-08,22689993,"Holger H,Manel E",N,N,N
GSE32268,N,N,N,N,N,Homo sapiens,UC Davis,N,N,Role of DNMT3B in the regulation of early neural and neural crest specifiers,N,N,2012-03-28,2011-09-21,22207353,"Schroeder DI,LaSalle JM",N,N,N
GSE39777,N,N,N,N,N,Homo sapiens,UC Davis,N,N,Comparison of DNA methylation in human tissues,N,N,2013-03-28,2012-07-31,23530188,N,N,N,N
GSE40196,N,N,N,N,N,Homo sapiens,NIAID/NIH,N,N,"Human Sperm Epigenomes and Transcriptomes Reveal Novel Features of Enhancers, Sex Chromosomes, piRNAs, Gametogenesis, and Inherited Small RNAs",N,N,2018-12-03,2012-08-17,N,"Hammoud SS, Nix DA, Oler AJ, Carrell D, Cairns BR",N,N,N
GSE40832,N,N,N,N,N,Homo sapiens,ENCODE DCC,N,N,Whole Genome Bisulfite Sequencing by ENCODE/HAIB,N,N,2012-09-12,2012-09-12,N,"Myers R,Pauli F",N,N,N
GSE44806,N,N,N,N,N,Homo sapiens,Baylor College of Medicine,N,N,Whole genome bisulfite-seq of two healthy males.,N,N,2014-01-06,2013-03-01,24391148,Waterland RA,N,N,N
GSE46030,N,N,N,N,N,Homo sapiens,UCLA,N,N,Selective demethylation and altered gene expression are associated with ICF Syndrome in human induced pluripotent stem cells and mesenchymal stem cells,N,N,2014-11-17,2013-04-12,25027325,"Huang K,Fan G",N,N,N
GSE46327,N,N,N,N,N,Homo sapiens,IDIBELL,N,N,Genome-wide DNA methylation aberrations in human atherosclerosis (sequencing),N,N,2014-08-12,2013-04-23,"25091541,25881171","Esteller M,Heyn H",N,N,N
GSE46572,N,N,N,N,N,Homo sapiens,QMUL,N,N,Buccals are likely to be a more informative surrogate tissue than blood for epigenome-wide association studies [Bisulfite-Seq],N,N,2013-05-02,2013-05-02,23538714,Lowe R,N,N,N
GSE46644,N,N,N,N,N,Homo sapiens,Max Planck Institute of Psychiatry,N,N,Charting a dynamic DNA methylation landscape of the human genome,N,N,2013-08-09,2013-05-03,"23925113,25362363",Meissner A,N,N,N
GSE46710,N,N,N,N,N,Homo sapiens,Tsinghua University,N,N,Whole-genome analysis of 5-hydroxymethylcytosines and 5-methylcytosines at base resolution in human brain,N,N,2014-02-14,2013-05-07,24594098,"Wen L,Tan Y",N,N,N
GSE47966,N,N,N,N,N,Homo sapiens;Mus musculus,HHMI-Salk-Institute,N,N,Global epigenomic reconfiguration during mammalian brain development,N,N,2013-07-03,2013-06-14,"23828890,26030523","Lister R,Ecker JR",N,N,N
GSE48580,N,N,N,N,N,Homo sapiens,"University of Glasgow, Beatson Institute for Cancer Research",N,N,Genome-wide methylation maps for Proliferating and Senescent cells,N,N,2013-11-25,2013-07-08,"24270890,27457071","Cruickshanks HA,McBryan T,Adams PD",N,N,N
GSE49627,N,N,N,N,N,Homo sapiens,Johns Hopkins,N,N,Large-scale hypomethylated blocks associated with Epstein-Barr virus-induced B-cell immortalization [Bisulfite-seq],N,N,2013-09-17,2013-08-07,"24068705,25599564","Hansen KD,Sarbunciyan S",N,N,N
GSE49828,N,N,N,N,N,Homo sapiens,MGH cancer center,N,N,The DNA methylation landscape of human early embryos,N,N,2014-07-22,2013-08-13,25079557,"Guo H,Zhu P,Yan L,Qiao J,Tang F",N,N,N
GSE51868,N,N,N,N,N,Homo sapiens,INRA,N,N,HEK293 cells (HEK293-CT) and HEK293 cells stably over-expressing the BAHD1 gene (HEK-BAHD1),N,N,2015-12-11,2013-10-29,26938916,"Libertini E, Bierne H, Beck S",N,N,N
GSE52271,N,N,N,N,N,Homo sapiens,IDIBELL,N,N,Genome-wide profiling of the functional DNA methylation landscape at base-pair resolution in human cancer types [BS-seq],N,N,2016-01-08,2013-11-12,26813288,"Heyn H,Esteller M",N,N,N
GSE54373,N,N,N,N,N,Homo sapiens,McGill University and Génome Québec Innovation Centre,N,N,"The relationship between DNA methylation, genetic and expression inter-individual variation in untransformed human fibroblasts [Whole genome bisulfite sequencing]",N,N,2014-01-25,2014-01-24,24555846,"Busche S,Kwan T,Ge B,Wagner J,Pastinen T,Blanchette M",N,N,N
GSE54693,N,N,N,N,N,Homo sapiens,Radboud University,N,N,Genome wide profiling of MBD2 binding,N,N,2014-07-03,2014-02-05,24927503,"Menafra R,Brinkman AB,Matarese F,Franci G,Bartels SJ,Nguyen L,Shimbo T,Wade PA,Hubner NC,Stunnenberg HG",N,N,N
GSE55125,N,N,N,N,N,Homo sapiens,"University of Glasgow, Beatson Institute for Cancer Research",N,N,Aza treated AML3 cells,N,N,2014-07-01,2014-02-18,25315154,"Lund K, McBryan T, Cole JJ, Adams PD",N,N,N
GSE55505,N,N,N,N,N,Homo sapiens,University of Geneva Medical School,N,N,Domains of genomewide gene expression dysregulation in Down syndrome [RRBS],N,N,2014-04-08,2014-03-03,24740065,"Letourneau A,Santoni FA,Bonilla X,Sailani M,Gonzalez D,Kind J,Chevalier C,Thurman R,Sandstrom RS,Hibaoui Y,Popadin K,Falconnet E,Gagnebin M,Gehrig C,Vannier A,Guipponi M,Farinelli L,Robyr D,Garieri M,Migliavacca E,Borel C,Deutsch S,Feki A,Stamatoyannopoulos JA,Herault Y,van Steensel B,Guigo R,Antonarakis SE",N,N,N
GSE56602,N,N,N,N,N,Homo sapiens,UCSF,N,N,Two-Track Epigenetic Remodeling and Backtracking to Embryonic Stem Cell Bivalency in B-cell Acute Lymphoblastic Leukemias,N,N,2015-02-23,2014-04-08,25690899,"Lee S, Wiemels JL",N,N,N
GSE57097,N,N,N,N,N,Homo sapiens,Institute of Molecular and Cell Biology,N,N,Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [sperm; Bisulfite-Seq],N,N,2014-05-19,2014-04-25,24835570,"Low DH,Hammoud SS",N,N,N
GSE57353,N,N,N,N,N,Homo sapiens,"University of California, Davis",N,N,Genome-wide DNA hypomethylation and RNA:DNA hybrid accumulation in Aicardi-Goutières syndrome,N,N,2015-07-17,2014-05-06,26182405,"Lim Y,Sanz LA,Xu X,Hartono SR,Chedin F",N,N,N
GSE57353,N,N,N,N,N,Homo sapiens,"University of California, Davis",N,N,Genome-wide DNA hypomethylation and RNA:DNA hybrid accumulation in Aicardi-Goutières syndrome,N,N,2015-07-17,2014-05-06,26182405,"Lim Y,Sanz LA,Xu X,Hartono SR,Chedin F",N,N,N
GSE57359,N,N,N,N,N,Homo sapiens,IDIBELL,N,N,Genome-wide profiling of the DNA methylation landscape at base-pair resolution in human neurological disorders (Bisulfite-Seq),N,N,2016-01-22,2014-05-06,26784972,"Heyn H,Esteller M",N,N,N
GSE57471,N,N,N,N,N,Homo sapiens,University of Chicago,N,N,"Methylation QTLs are associated with coordinated changes in transcription factor binding, histone modifications, and gene expression levels [Bisulfite-Seq]",N,N,2014-05-09,2014-05-08,25233095,"Banovich NE,Lan X,van de Geijn B,McVicker G,Degner JF,Blischak JD,Pritchard JK,Gilad Y",N,N,N
GSE58695,N,N,N,N,N,Homo sapiens,UCLA,N,N,The effects of the global loss of DNA methylation on the functional cancer epigenome (Bisulfite-seq),N,N,2015-02-06,2014-06-20,25747664,"Lay FD,Liu Y,Berman B,Jones P",N,N,N
GSE59869,N,N,N,N,N,Homo sapiens,Agricultural Genomes Institute at Shenzhen,N,N,Genomic and epigenomic architectures of monozygotic twins discordant for child acute lymphoblastic leukemia,N,N,N,N,N,,N,N,N
GSE60012,N,N,N,N,N,Homo sapiens,The Hebrew University,N,N,Gender-specific post-natal demethylation and establishment of epigenetic memory,N,N,2015-05-03,2014-08-01,25934504,"Reizel Y,Spiro A,Sabag O,Skversky Y,Hecht M,Keshet I,Berman BP,Cedar H",N,N,N
GSE60106,N,N,N,N,N,Homo sapiens,University of Southern California Graduate Student,N,N,Global loss of DNA methylation uncovers intronic enhancers in genes,N,N,2014-09-10,2014-08-05,25239471,"Blattler A,Witt H,Guo Y,Nicolet C,Farnham P,Lay F,Jones P",N,N,N
GSE60945,N,N,N,N,N,Homo sapiens,The Babraham Institute,N,N,Resetting Transcription Factor Control Circuitry Towards Ground State Pluripotency In Human,N,N,2014-09-10,2014-08-29,25215486,"Takashima Y,Ficz G,Krueger F,Reik W,Smith A",N,N,N
GSE62193,N,N,N,N,N,Homo sapiens,Max Planck Institute of Psychiatry,N,N,Dissecting neural differentiation regulatory networks through epigenetic footprinting,N,N,2014-11-02,2014-10-08,25533951,"Meissner A,Elkabetz Y",N,N,N
GSE62277,N,N,N,N,N,Homo sapiens,University of Michigan,N,N,Genome-wide profiling of DNA methylation at single-base resolution based on MeDIP-bisulfite high-throughput sequencing and ridge regression (MethyC + MeDIP),N,N,2015-10-01,2014-10-10,26078362,"Cai W,Sun ZS",N,N,N
GSE63126,N,N,N,N,N,Homo sapiens,Johns Hopkins University,N,N,Large-scale epigenetic reprogramming is punctuated late during the evolution of pancreatic cancer progression,N,N,2016-10-23,2014-11-09,28092686,"McDonald OG, Li X, Iacobuzio-Donahue C, Feinberg AP",N,N,N
GSE63183,N,N,N,N,N,Homo sapiens,Columbia University Medical Center,N,N,Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer,N,N,2016-02-29,2014-11-12,26680004,"Zhang J,Chen K",N,N,N
GSE63278,N,N,N,N,N,Homo sapiens,Omega Therapeutics,N,N,"Targeted disruption of DNMT1, 3A and 3B in human embryonic stem cells [WGBS]",N,N,2015-03-30,2014-11-13,25822089,Meissner A,N,N,N
